column_name;label;class;is_ordered;is_factor;n_unique;example_values
region_live;Zona Waktu Tempat Tinggal;character;FALSE;FALSE;4;West, Central, East
age;Umur;numeric;FALSE;FALSE;8;25, 22, 23
gender;Manakah dari berikut ini yang paling menggambarkan identitas gender kamu? - Selected Choice;ordered, factor;TRUE;TRUE;5;Perempuan, Laki-laki, Lebih memilih untuk tidak menyebutkan
activism;Apakah kamu pernah terlibat dalam aktivitas organisasi masyarakat sipil?;ordered, factor;TRUE;TRUE;2;Pernah, Tidak pernah
political_exsposure;Seberapa sering kamu mengikuti berita tentang isu sosial dan politik di Indonesia?;ordered, factor;TRUE;TRUE;5;Kadang-kadang, Sering, Sangat sering
polexsp_tiktok;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Tiktok";character;FALSE;FALSE;2;NA, Tiktok
polexsp_x;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Twitter";character;FALSE;FALSE;2;NA, Twitter
polexsp_ig;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Instagram";character;FALSE;FALSE;2;NA, Instagram
polexsp_yt;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Youtube";character;FALSE;FALSE;2;Youtube, NA
polexsp_newsapp;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Platform berita online (misalnya, situs web berita, aplikasi berita)";character;FALSE;FALSE;2;Platform berita online (misalnya, situs web berita, aplikasi berita), NA
polexsp_newsconv;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Platform berita offline (misalnya, TV, radio, surat kabar)";character;FALSE;FALSE;2;NA, Platform berita offline (misalnya, TV, radio, surat kabar)
polexsp_peers;"Di mana kamu biasanya mendapatkan berita tentang isu sosial, politik, atau terkini? 
 (Pilih semua yang relevan) - Dari teman, rekan kerja, keluarga, atau kelompok komunitas";character;FALSE;FALSE;2;NA, Dari teman, rekan kerja, keluarga, atau kelompok komunitas
polexsp_peers_intensity;Seberapa sering kamu mendiskusikan isu sosial dan politik dengan teman, keluarga, atau anggota komunitas?;ordered, factor;TRUE;TRUE;5;Kadang-kadang (beberapa kali dalam sebulan), Sering (setidaknya sekali seminggu), Tidak pernah
civspace_expression;"Mana dari pernyataan berikut yang paling menggambarkan 'ruang sipil'?
 (Pilih semua yang relevan) - Penghormatan terhadap kebebasan berserikat, berkumpul secara damai, dan berekspresi dalam kebijakan, hukum, dan praktik";character;FALSE;FALSE;2;Penghormatan terhadap kebebasan berserikat, berkumpul secara damai, dan berekspresi dalam kebijakan, hukum, dan praktik, NA
civspace_rights;"Mana dari pernyataan berikut yang paling menggambarkan 'ruang sipil'?
 (Pilih semua yang relevan) - Ruang di mana negara melindungi hak-hak dasar seperti berserikat, berkumpul, dan berekspresi";character;FALSE;FALSE;2;NA, Ruang di mana negara melindungi hak-hak dasar seperti berserikat, berkumpul, dan berekspresi
civspace_gather;"Mana dari pernyataan berikut yang paling menggambarkan 'ruang sipil'?
 (Pilih semua yang relevan) - Area publik di mana individu dapat berkumpul untuk kegiatan sosial, politik, atau budaya";character;FALSE;FALSE;2;Area publik di mana individu dapat berkumpul untuk kegiatan sosial, politik, atau budaya, NA
civspace_discuss;"Mana dari pernyataan berikut yang paling menggambarkan 'ruang sipil'?
 (Pilih semua yang relevan) - Lingkungan di mana warga negara dapat terlibat secara bebas dalam diskusi dan mengekspresikan pendapat yang beragam";character;FALSE;FALSE;2;NA, Lingkungan di mana warga negara dapat terlibat secara bebas dalam diskusi dan mengekspresikan pendapat yang beragam
civspace_critics;"Mana dari pernyataan berikut yang paling menggambarkan 'ruang sipil'?
 (Pilih semua yang relevan) - Kebebasan untuk bersuara, mengkritik pemerintah, menyampaikan aspirasi melalui media sosial dan media lainnya";character;FALSE;FALSE;2;NA, Kebebasan untuk bersuara, mengkritik pemerintah, menyampaikan aspirasi melalui media sosial dan media lainnya
civspace_allabove;"Mana dari pernyataan berikut yang paling menggambarkan 'ruang sipil'?
 (Pilih semua yang relevan) - Semua hal di atas";character;FALSE;FALSE;2;NA, Semua hal di atas
civspace_heard;"Apakah kamu pernah mendengar istilah ""ruang sipil"" sebelumnya?";ordered, factor;TRUE;TRUE;3;Tidak, Ya, Tidak yakin
civspace_understanding;"Bagaimana kamu menilai pemahaman kamu tentang apa itu ""ruang sipil""?";ordered, factor;TRUE;TRUE;5;Cukup paham, Pernah mendengar sekilas saja, Kurang paham
civicspace_change;Menurut kamu, bagaimana ruang sipil di Indonesia berubah selama pemerintahan saat ini?;ordered, factor;TRUE;TRUE;5;Lebih terbuka, Tidak berubah, Jauh lebih tertutup
civicspace_lead_censoring;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Pembatasan terhadap kebebasan berpendapat atau kritik terhadap pemerintah";character;FALSE;FALSE;2;NA, Pembatasan terhadap kebebasan berpendapat atau kritik terhadap pemerintah
civicspace_lead_violence;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Penggunaan aparat keamanan untuk mengintimidasi atau membubarkan aksi damai";character;FALSE;FALSE;2;NA, Penggunaan aparat keamanan untuk mengintimidasi atau membubarkan aksi damai
civicspace_lead_presslimit;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Pembatasan kebebasan pers dan akses terhadap informasi independen";character;FALSE;FALSE;2;NA, Pembatasan kebebasan pers dan akses terhadap informasi independen
civicspace_lead_banning;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Pembatasan kebebasan untuk berserikat dan membentuk organisasi";character;FALSE;FALSE;2;NA, Pembatasan kebebasan untuk berserikat dan membentuk organisasi
civicspace_lead_repression;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Penggunaan hukum untuk menekan aktivis atau kelompok oposisi";character;FALSE;FALSE;2;NA, Penggunaan hukum untuk menekan aktivis atau kelompok oposisi
civicspace_lead_monopoly;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Konsentrasi pengambilan keputusan di tangan segelintir pemimpin";character;FALSE;FALSE;2;Konsentrasi pengambilan keputusan di tangan segelintir pemimpin, NA
civicspace_lead_accountability;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan";character;FALSE;FALSE;2;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan, NA
civicspace_lead_allgood;"Menurut kamu, ciri-ciri apa yang paling menggambarkan gaya kepemimpinan pemerintahan saat ini terkait dengan isu ruang sipil?
 
 (Pilih semua yang relevan) - Saya tidak merasa ciri-ciri tersebut di atas menggambarkan gaya kepemimpinan pemerintahan saat ini";character;FALSE;FALSE;2;NA, Saya tidak merasa ciri-ciri tersebut di atas menggambarkan gaya kepemimpinan pemerintahan saat ini
civicspace_youth_union;"Menurut kamu, apa yang membuat ruang sipil aman dan ramah bagi anak muda? 
 (Pilih semua yang relevan) - Kebebasan untuk berserikat atau membentuk kelompok";character;FALSE;FALSE;2;NA, Kebebasan untuk berserikat atau membentuk kelompok
civicspace_youth_gather;"Menurut kamu, apa yang membuat ruang sipil aman dan ramah bagi anak muda? 
 (Pilih semua yang relevan) - Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi";character;FALSE;FALSE;2;NA, Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi
