region_live;age;gender;activism;political_exsposure;polexsp_tiktok;polexsp_x;polexsp_ig;polexsp_yt;polexsp_newsapp;polexsp_newsconv;polexsp_peers;polexsp_peers_intensity;civspace_expression;civspace_rights;civspace_gather;civspace_discuss;civspace_critics;civspace_allabove;civspace_heard;civspace_understanding;civicspace_change;civicspace_lead_censoring;civicspace_lead_violence;civicspace_lead_presslimit;civicspace_lead_banning;civicspace_lead_repression;civicspace_lead_monopoly;civicspace_lead_accountability;civicspace_lead_allgood;civicspace_youth_union;civicspace_youth_gather;civicspace_youth_express;civicspace_youth_protect;civicspace_youth_resource;civicspace_youth_representation;civicspace_youth_chal_intimidation;civicspace_youth_chal_ban;civicspace_youth_chal_censoring;civicspace_youth_chal_unprotection;civicspace_youth_chal_safespace;civicspace_youth_chal_discrimination;civicspace_youth_chal_resource;gov_response_humanrights;gov_response_environment;gov_response_foodresource;gov_response_vulnerabelpop;gov_response_healthaccess;gov_response_eduaccess;gov_response_poverty;gov_response_inequality;gov_response_economicopp;elit_percep_national;elit_percep_local;issue_commited_voicing;issue_motiv_environment;issue_motiv_foodresources;issue_motiv_vulnerablepop;issue_motiv_humanrights;issue_motiv_healthaccess;issue_motiv_educaccess;issue_motiv_poverty;issue_motiv_inequality;issue_motiv_economicopp;issue_motiv_other;issue_motiv_text;issue_commited_resources
West;25;Perempuan;Pernah;Kadang-kadang;NA;NA;NA;Youtube;Platform berita online (misalnya, situs web berita, aplikasi berita);NA;NA;Kadang-kadang (beberapa kali dalam sebulan);Penghormatan terhadap kebebasan berserikat, berkumpul secara damai, dan berekspresi dalam kebijakan, hukum, dan praktik;NA;Area publik di mana individu dapat berkumpul untuk kegiatan sosial, politik, atau budaya;NA;NA;NA;Tidak;Cukup paham;Lebih terbuka;NA;NA;NA;NA;NA;Konsentrasi pengambilan keputusan di tangan segelintir pemimpin;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;NA;NA;NA;NA;Akses terhadap informasi dan sumber daya;Representasi atau perwakilan dari pendapat yang beragam;NA;NA;NA;NA;NA;NA;Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda;4;4;4;4;6;6;6;6;6;Netral;Netral;Kadang-kadang terlibat;Perlindungan lingkungan hidup;NA;Perlindungan terhadap kelompok rentan;NA;NA;NA;NA;Pengurangan ketimpangan sosial dan ekonomi;NA;NA;NA;40
West;22;Laki-laki;Pernah;Sering;NA;Twitter;Instagram;NA;Platform berita online (misalnya, situs web berita, aplikasi berita);NA;Dari teman, rekan kerja, keluarga, atau kelompok komunitas;Kadang-kadang (beberapa kali dalam sebulan);NA;NA;NA;NA;NA;Semua hal di atas;Ya;Cukup paham;Tidak berubah;Pembatasan terhadap kebebasan berpendapat atau kritik terhadap pemerintah;Penggunaan aparat keamanan untuk mengintimidasi atau membubarkan aksi damai;NA;Pembatasan kebebasan untuk berserikat dan membentuk organisasi;Penggunaan hukum untuk menekan aktivis atau kelompok oposisi;NA;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;Kebebasan untuk berserikat atau membentuk kelompok;Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi;Kebebasan untuk mengekspresikan pendapat secara terbuka;Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut;Akses terhadap informasi dan sumber daya;Representasi atau perwakilan dari pendapat yang beragam;Ketakutan akan pelecehan atau intimidasi saat berkumpul secara damai;NA;Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya;NA;NA;NA;Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda;5;4;5;2;6;5;3;3;3;Tidak baik;Netral;Kadang-kadang terlibat;Perlindungan lingkungan hidup;Ketahanan pangan dan pengelolaan sumber daya alam;Perlindungan terhadap kelompok rentan;Isu kemanusiaan dan Hak Asasi Manusia;NA;Peningkatan akses dan kualitas pendidikan;NA;NA;NA;NA;NA;40
West;25;Laki-laki;Pernah;Sering;NA;Twitter;NA;NA;NA;NA;NA;Kadang-kadang (beberapa kali dalam sebulan);NA;NA;NA;NA;NA;Semua hal di atas;Tidak;Pernah mendengar sekilas saja;Lebih terbuka;NA;NA;NA;NA;Penggunaan hukum untuk menekan aktivis atau kelompok oposisi;Konsentrasi pengambilan keputusan di tangan segelintir pemimpin;NA;NA;NA;Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi;NA;Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut;Akses terhadap informasi dan sumber daya;NA;NA;NA;NA;NA;NA;NA;Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda;5;10;9;10;10;10;10;10;10;Tidak baik;Tidak baik;Kadang-kadang terlibat;Perlindungan lingkungan hidup;NA;Perlindungan terhadap kelompok rentan;NA;Akses dan layanan kesehatan;Peningkatan akses dan kualitas pendidikan;Penanganan kemiskinan;NA;NA;NA;NA;60
West;25;Perempuan;Pernah;Sering;NA;NA;Instagram;NA;Platform berita online (misalnya, situs web berita, aplikasi berita);NA;NA;Sering (setidaknya sekali seminggu);NA;NA;Area publik di mana individu dapat berkumpul untuk kegiatan sosial, politik, atau budaya;Lingkungan di mana warga negara dapat terlibat secara bebas dalam diskusi dan mengekspresikan pendapat yang beragam;Kebebasan untuk bersuara, mengkritik pemerintah, menyampaikan aspirasi melalui media sosial dan media lainnya;NA;Ya;Cukup paham;Lebih terbuka;NA;NA;NA;NA;NA;NA;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;NA;Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi;Kebebasan untuk mengekspresikan pendapat secara terbuka;Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut;Akses terhadap informasi dan sumber daya;Representasi atau perwakilan dari pendapat yang beragam;Ketakutan akan pelecehan atau intimidasi saat berkumpul secara damai;NA;NA;Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda;NA;Diskriminasi berdasarkan gender, etnis, atau agama;NA;1;1;2;0;7;1;0;0;0;Sangat tidak baik;Sangat tidak baik;Kadang-kadang terlibat;NA;NA;NA;NA;Akses dan layanan kesehatan;NA;Penanganan kemiskinan;Pengurangan ketimpangan sosial dan ekonomi;Kesempatan kerja dan pemberdayaan ekonomi;NA;NA;60
West;23;Laki-laki;Pernah;Sering;Tiktok;Twitter;Instagram;Youtube;Platform berita online (misalnya, situs web berita, aplikasi berita);NA;Dari teman, rekan kerja, keluarga, atau kelompok komunitas;Sering (setidaknya sekali seminggu);NA;NA;NA;NA;NA;Semua hal di atas;Ya;Cukup paham;Lebih terbuka;Pembatasan terhadap kebebasan berpendapat atau kritik terhadap pemerintah;NA;Pembatasan kebebasan pers dan akses terhadap informasi independen;NA;Penggunaan hukum untuk menekan aktivis atau kelompok oposisi;NA;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;Kebebasan untuk berserikat atau membentuk kelompok;NA;NA;Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut;Akses terhadap informasi dan sumber daya;NA;Ketakutan akan pelecehan atau intimidasi saat berkumpul secara damai;Pembatasan dalam membentuk atau bergabung dengan kelompok tertentu;NA;Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda;NA;NA;NA;1;1;3;1;9;10;1;3;1;Sangat tidak baik;Baik;Kadang-kadang terlibat;Perlindungan lingkungan hidup;Ketahanan pangan dan pengelolaan sumber daya alam;NA;Isu kemanusiaan dan Hak Asasi Manusia;NA;NA;NA;NA;Kesempatan kerja dan pemberdayaan ekonomi;NA;NA;20
West;22;Perempuan;Tidak pernah;Kadang-kadang;Tiktok;Twitter;Instagram;NA;NA;NA;NA;Kadang-kadang (beberapa kali dalam sebulan);NA;NA;Area publik di mana individu dapat berkumpul untuk kegiatan sosial, politik, atau budaya;Lingkungan di mana warga negara dapat terlibat secara bebas dalam diskusi dan mengekspresikan pendapat yang beragam;Kebebasan untuk bersuara, mengkritik pemerintah, menyampaikan aspirasi melalui media sosial dan media lainnya;NA;Tidak;Kurang paham;Tidak berubah;NA;NA;NA;NA;Penggunaan hukum untuk menekan aktivis atau kelompok oposisi;Konsentrasi pengambilan keputusan di tangan segelintir pemimpin;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;NA;NA;Kebebasan untuk mengekspresikan pendapat secara terbuka;NA;Akses terhadap informasi dan sumber daya;Representasi atau perwakilan dari pendapat yang beragam;NA;NA;Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya;NA;NA;NA;Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda;4;4;4;4;4;4;4;4;4;Tidak baik;Tidak baik;Kadang-kadang terlibat;NA;NA;NA;Isu kemanusiaan dan Hak Asasi Manusia;NA;Peningkatan akses dan kualitas pendidikan;NA;Pengurangan ketimpangan sosial dan ekonomi;Kesempatan kerja dan pemberdayaan ekonomi;NA;NA;60
West;21;Laki-laki;Pernah;Sering;NA;NA;Instagram;Youtube;NA;NA;NA;Tidak pernah;NA;NA;NA;NA;NA;Semua hal di atas;Ya;Cukup paham;Lebih terbuka;NA;NA;NA;NA;NA;NA;NA;Saya tidak merasa ciri-ciri tersebut di atas menggambarkan gaya kepemimpinan pemerintahan saat ini;NA;NA;NA;NA;NA;Representasi atau perwakilan dari pendapat yang beragam;NA;NA;Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya;Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda;Tidak adanya ruang aman untuk berkumpul atau berorganisasi;NA;NA;4;6;10;5;6;8;7;2;5;Baik;Baik;Jarang terlibat;NA;NA;NA;Isu kemanusiaan dan Hak Asasi Manusia;NA;Peningkatan akses dan kualitas pendidikan;NA;NA;NA;Lainnya (sebutkan);Hu;40
West;25;Laki-laki;Pernah;Sangat sering;NA;Twitter;NA;Youtube;Platform berita online (misalnya, situs web berita, aplikasi berita);NA;NA;Sangat sering (hampir setiap hari);Penghormatan terhadap kebebasan berserikat, berkumpul secara damai, dan berekspresi dalam kebijakan, hukum, dan praktik;Ruang di mana negara melindungi hak-hak dasar seperti berserikat, berkumpul, dan berekspresi;NA;Lingkungan di mana warga negara dapat terlibat secara bebas dalam diskusi dan mengekspresikan pendapat yang beragam;Kebebasan untuk bersuara, mengkritik pemerintah, menyampaikan aspirasi melalui media sosial dan media lainnya;NA;Tidak;Pernah mendengar sekilas saja;Jauh lebih tertutup;Pembatasan terhadap kebebasan berpendapat atau kritik terhadap pemerintah;Penggunaan aparat keamanan untuk mengintimidasi atau membubarkan aksi damai;Pembatasan kebebasan pers dan akses terhadap informasi independen;Pembatasan kebebasan untuk berserikat dan membentuk organisasi;Penggunaan hukum untuk menekan aktivis atau kelompok oposisi;Konsentrasi pengambilan keputusan di tangan segelintir pemimpin;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;Kebebasan untuk berserikat atau membentuk kelompok;Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi;Kebebasan untuk mengekspresikan pendapat secara terbuka;Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut;NA;Representasi atau perwakilan dari pendapat yang beragam;Ketakutan akan pelecehan atau intimidasi saat berkumpul secara damai;NA;Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya;Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda;NA;NA;NA;2;1;1;4;7;3;1;1;1;Sangat tidak baik;Sangat tidak baik;Sering terlibat;NA;NA;Perlindungan terhadap kelompok rentan;Isu kemanusiaan dan Hak Asasi Manusia;NA;Peningkatan akses dan kualitas pendidikan;NA;NA;NA;NA;NA;80
Central;25;Laki-laki;Tidak pernah;Kadang-kadang;NA;NA;Instagram;Youtube;Platform berita online (misalnya, situs web berita, aplikasi berita);NA;Dari teman, rekan kerja, keluarga, atau kelompok komunitas;Kadang-kadang (beberapa kali dalam sebulan);NA;NA;Area publik di mana individu dapat berkumpul untuk kegiatan sosial, politik, atau budaya;Lingkungan di mana warga negara dapat terlibat secara bebas dalam diskusi dan mengekspresikan pendapat yang beragam;Kebebasan untuk bersuara, mengkritik pemerintah, menyampaikan aspirasi melalui media sosial dan media lainnya;NA;Tidak;Kurang paham;Lebih terbuka;NA;NA;NA;NA;NA;NA;NA;Saya tidak merasa ciri-ciri tersebut di atas menggambarkan gaya kepemimpinan pemerintahan saat ini;Kebebasan untuk berserikat atau membentuk kelompok;NA;Kebebasan untuk mengekspresikan pendapat secara terbuka;NA;Akses terhadap informasi dan sumber daya;NA;NA;NA;NA;Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda;NA;Diskriminasi berdasarkan gender, etnis, atau agama;NA;7;7;7;5;9;8;6;4;7;Netral;Baik;Kadang-kadang terlibat;Perlindungan lingkungan hidup;Ketahanan pangan dan pengelolaan sumber daya alam;Perlindungan terhadap kelompok rentan;Isu kemanusiaan dan Hak Asasi Manusia;Akses dan layanan kesehatan;NA;NA;NA;NA;NA;NA;40
East;25;Laki-laki;Pernah;Sangat sering;NA;NA;Instagram;Youtube;Platform berita online (misalnya, situs web berita, aplikasi berita);Platform berita offline (misalnya, TV, radio, surat kabar);Dari teman, rekan kerja, keluarga, atau kelompok komunitas;Sering (setidaknya sekali seminggu);NA;NA;NA;NA;NA;Semua hal di atas;Tidak;Kurang paham;Tidak berubah;NA;Penggunaan aparat keamanan untuk mengintimidasi atau membubarkan aksi damai;Pembatasan kebebasan pers dan akses terhadap informasi independen;NA;Penggunaan hukum untuk menekan aktivis atau kelompok oposisi;Konsentrasi pengambilan keputusan di tangan segelintir pemimpin;Kurangnya transparansi atau akuntabilitas dalam pengambilan keputusan;NA;Kebebasan untuk berserikat atau membentuk kelompok;Kebebasan untuk berkumpul secara damai tanpa pelecehan atau intimidasi;Kebebasan untuk mengekspresikan pendapat secara terbuka;Perlindungan negara terhadap ancaman atau diskriminasi saat menggunakan kebebasan tersebut;Akses terhadap informasi dan sumber daya;Representasi atau perwakilan dari pendapat yang beragam;NA;NA;Adanya perasaan tidak bebas dan takut dalam menyampaikan opini dan kritik di ruang terbuka seperti media sosial dan media lainnya;Kurangnya perlindungan dari pemerintah saat menggunakan hak-hak anak muda;NA;NA;Akses terbatas ke sumber daya atau dukungan untuk kegiatan yang dipimpin oleh anak muda;2;1;2;4;4;3;2;2;3;Tidak baik;Sangat tidak baik;Kadang-kadang terlibat;Perlindungan lingkungan hidup;Ketahanan pangan dan pengelolaan sumber daya alam;Perlindungan terhadap kelompok rentan;Isu kemanusiaan dan Hak Asasi Manusia;Akses dan layanan kesehatan;Peningkatan akses dan kualitas pendidikan;Penanganan kemiskinan;Pengurangan ketimpangan sosial dan ekonomi;Kesempatan kerja dan pemberdayaan ekonomi;NA;NA;60
